ID;vTitle
17613;International Conference on Electronic Publishing
17710;European Signal Processing Conference
20768;Symposium on Computer Animation
22149;SIGCPR
22592;EVA
23210;ISABEL
24586;InfoSecCD
25264;WoSQ@ICSE
26778;SIGUCCS Small-College Conference
27477;WGP@ICFP
27746;Computational Models of Rationality
28984;*SEM@NAACL-HLT
30070;ACM-TURING
31627;SIGGRAPH Studio Talks
31944;PPIG
32718;TEEM
33377;"WSC08: Winter Simulation Conference
		      Miami
		      Florida
		    December, 2008"
35784;AIC
36057;PacificVis
36584;SIGDIAL Workshop
37069;NATO ASI CP
37368;BUCC@ACL
37385;MSFP@MPC
38292;EURO-DAC
38804;AHS
39053;WOD
39168;Advances in Modal Logic
39816;DiGRA Conference
39965;ENLG
40005;FCP@NAACL-HLT
