ID;vTitle
2;
10;International Geoscience and Remote Sensing Symposium
26;International Conference on Document Analysis and Recognition
48;International Symposium on Circuits and Systems
72;ACM SIGGRAPH ASIA 2009 Art Gallery & Emerging Technologies: Adaptation
81;Expert Systems
88;NEMS
97;RoboCup 2009
106;AINA Workshops
117;Human Machine Interaction
140;Math. Comput.
147;IEICE Transactions
168;Computer Software and Applications Conference
197;J. Philosophical Logic
209;Frontiers of Computer Science in China
234;IWDC
249;Fairness
253;Annals OR
258;NCA
262;AMCIS
270;ARTCom
276;WAFR
282;Advances in Computer Entertainment Technology
305;Euromicro Conference on Parallel Distributed and Network-Based Processing
309;Scholarpedia
320;Data & Knowledge Engineering
370;Informatik Spektrum
375;CLINICAL OBSTETRICS AND GYNECOLOGY
385;IEEE T. Cybernetics
389;Zeitschrift für Medienpsychologie
393;Complexity
399;Comput. J.
403;it+ti - Informationstechnik und Technische Informatik
407;Educational Technology & Society
412;Digital Humanities Quarterly
416;Datenschutz und Datensicherheit
437;KI
441;J. Digit. Inf.
446;Bulletin of the EATCS
450;Computers, Environment and Urban Systems
455;IEEE Security & Privacy
459;Encyclopedia of Parallel Computing
463;Mathematics and Computers in Simulation
481;Formal Methods in System Design
488;J. Sci. Comput.
493;Encyclopedia of Cryptography and Security (2nd Ed.)
499;Notre Dame Journal of Formal Logic
505;ACM SIGSOFT Software Engineering Notes
510;IEEE Trans. Knowl. Data Eng.
544;Commun. ACM
549;IEEE CONTROL SYSTEMS MAGAZINE
557;Journal of Intelligent and Robotic Systems
571;Annales des Télécommunications
576;Formal Development of Reactive Systems
582;HOIT
586;WDAG
622;IEEE Symposium on Security and Privacy
633;DCC
638;SIGART Newsletter
642;Int. J. Found. Comput. Sci.
650;EJIS
657;J. Comb. Theory, Ser. B
683;Sci. Comput. Program.
688;SIGGRAPH ASIA Animations
699;J. Network Syst. Manage.
718;ACM Trans. Database Syst.
726;POPL
743;Graph Drawing
752;Interactions
759;Discrete Applied Mathematics
766;International Journal of Computer Vision
770;LOG IN
773;Graphs and Combinatorics
779;Digital Technical Journal
783;Computers & OR
786;EUROVAV
796;J. Log. Algebr. Meth. Program.
806;AI Magazine
810;NeuroImage
822;CoRR
829;Mensch & Computer Workshopband
836;Ad Hoc & Sensor Wireless Networks
839;Theory Comput. Syst.
843;Praxis der Informationsverarbeitung und Kommunikation
851;Online Information Review
858;IEEE Expert
862;Wirtschaftsinformatik
881;Optimization Methods and Software
893;Ann. Math. Artif. Intell.
898;Computers & Industrial Engineering
903;SIGIR Forum
907;Security and Control of Information Technology in Society
913;Algorithms Unplugged
920;Systems and Software Variability Management
924;CSCL-Kompendium
943;JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS
960;THIN-WALLED STRUCTURES
967;FO & DM
973;J. Symb. Comput.
977;Intelligent Automation & Soft Computing
986;NIME
990;ICCCN
998;J. Log. Comput.
1004;CURRENT PROBLEMS IN CARDIOLOGY
1015;VTS
1018;Eur. J. Comb.
1023;Computers & Chemical Engineering
1031;Network Analysis
1037;Description Logics
1054;European Transactions on Telecommunications
1067;CLEF (Working Notes)
1071;Phonetica
1081;Int. J. Intell. Syst.
1096;Fuzzy Sets and Systems
1100;Handbuch Fahrerassistenzsysteme
1118;Bildverarbeitung für die Medizin
1128;Nucleic Acids Research
1147;Comput. Sci. Inf. Syst.
1153;IS Management
1176;Machine Translation
1193;Encyclopedia of Machine Learning
1226;Cryptologia
1230;Theor. Comput. Sci.
1261;J. Autom. Reasoning
1265;Softw., Pract. Exper.
1269;Social Thinking - Software Practice
1295;SERVICES I
1301;WWW
1318;IJCAI
1321;IEEE Software
1350;IEEE Transactions on Neural Networks
1361;Comput. Graph. Forum
1376;Language and Linguistics Compass
1381;Theory in Biosciences
1385;Math. Meth. of OR
1389;BIAA
1394;IEEE Technol. Soc. Mag.
1412;I. J. Robotic Res.
1425;NUCLEIC ACIDS RESEARCH
1440;Peer-to-Peer: Ökonomische, technische und juristische Perspektiven
1446;SIGPLAN Notices
1451;SMARTNET
1467;FUTURE GENERATION COMPUTER SYSTEMS
1472;Synthese
1478;CW
1485;ICPP Workshops
1494;NIPS
1498;Periodica Mathematica Hungarica
1507;Encyclopedia of Social Network Analysis and Mining
1512;Computer-Aided Production Management
1530;EPIA Workshops
1552;SIGMOD Conference
1566;Mechanical Translation
1571;Technometrics
1580;Journal of Systems and Software
1605;IEEE Computer Graphics and Applications
1618;Lectures on Proof Verification and Approximation Algorithms
1624;WG
1628;Category Theory and Computer Science
1632;KIFS
1638;VL
1665;Discrete & Computational Geometry
1696;SIGGRAPH Posters
1701;Computers in Human Behavior
1709;SIGGRAPH ASIA Art Gallery & Emerging Technologies
1723;Cognition, Technology & Work
1728;W4A
1732;ADCOG
1736;ACL (Tutorial Abstracts)
1745;SERVICES
1755;SeCO Workshop
1760;ICUC
1764;Electr. Notes Theor. Comput. Sci.
1791;Computing in Science and Engineering
1797;Datenbank-Spektrum
1802;Inform., Forsch. Entwickl.
1817;it - Information Technology
1821;Journal of Chemical Information and Computer Sciences
1830;VLSI Signal Processing
1834;EMISA Forum
1844;Int. J. on Digital Libraries
1886;CIG
1910;Journal of Object Technology
1951;Inf. Process. Manage.
1957;Quality and Reliability Eng. Int.
1964;J. Scheduling
1982;Virtual Reality
1999;Reports on Mathematical Logic
2011;LLC
2020;Discrete Mathematics
2032;Datenbankhandbuch
2041;Computer Science, The Hardware, Software and Heart of It
2055;Knowledge-Based Systems
2084;The Journal of Supercomputing
2094;JOURNAL OF MOLECULAR STRUCTURE
2106;AI in Engineering
2126;Journal of Approximation Theory
2130;Perspektiven der Informatik
2136;USENIX Annual Technical Conference
2140;IASSIST Conference
2147;Advanced Course: Software Engineering
2154;Glottometrics
2160;ReCALL
2169;Duke Mathematical Journal
2173;Words, Semigroups, and Transductions
2185;PLASTIC AND RECONSTRUCTIVE SURGERY
2190;IET Signal Processing
2195;Journal of Physics and Chemistry of Solids
2199;SIAM Review
2212;Hypertext 1999
2232;Artif. Intell. Rev.
2239;SIGGRAPH
2242;Speech Communication
2249;OR Insight
2252;HMD - Praxis Wirtschaftsinform.
2255;Robotics
2279;Computer Communications
2292;JASIST
2305;Minds and Machines
2310;IJCIP
2314;IEEE Internet Computing
2319;GLDV-Jahrestagung
2326;Intellectics and Computational Logic
2337;EURASIP J. Adv. Sig. Proc.
2342;ACM Multimedia
2355;Encyclopedia of Computer Science
2359;Int. J. Comput. Math.
2378;Pattern Recognition
2389;GeoInformatica
2393;IEEE Micro
2417;IJPRAI
2422;J. ACM
2445;AAAI
2457;Personal Computing
2467;Microelectronics Reliability
2472;Math. Program.
2484;IEEE Transactions on Information Forensics and Security
2488;Comp. and Biomed. Research
2494;Inf. Syst. J.
2506;IEEE Transactions on Reliability
2511;Creativity & Cognition
2521;Digital Investigation
2524;Computer Vision, Graphics and Image Processing
2542;Library Trends
2545;J. Integrative Bioinformatics
2563;IEEE Geosci. Remote Sensing Lett.
2581;Biological Cybernetics
2587;Inf. Res.
2590;Microprocessors and Microsystems - Embedded Hardware Design
2594;Decision Support Systems
2604;Information & Management
2627;Numerical Lin. Alg. with Applic.
2646;Integration
2660;Automatisierungstechnik
2667;J. Digital Forensic Practice
2675;Computational Intelligence
2678;Cognitive Science
2686;Australasian J. of Inf. Systems
2696;IEEE Transactions on Information Theory
2701;J. Classification
2709;MVHI
2713;Modern Business Process Automation
2727;Handbuch Netzwerkforschung
