ID;Keyword
12;canopy parameters
13;canopy spectrum
14;different soil water content control
15;winter wheat
16;irrigation
17;hydrology
18;radiometry
19;moisture
20;indexes
21;vegetation
22;indexation
23;dry weight
24;soil moisture
25;water content
26;indexing terms
27;spectrum
28;natural disaster
34;handwriting recognition
35;prototypes
36;image segmentation
37;computer science
38;expert systems
39;knowledge base
40;pattern recognition
41;usability
42;optical character recognition
43;shape
44;feature extraction
56;sequential circuits
57;statistical distributions
58;set-up time constraints
59;register-to-register paths
60;statistical static timing analysis
61;integrated circuit modelling
62;parameter estimation
63;statistical analysis
64;circuit model
65;path delays
66;deep sub-micron technology
67;timing
68;delay distributions
69;delays
70;circuit timing
71;shortest path variations
72;hold time constraints
73;integrated circuit yield
74;process variations
75;integrated circuit layout
76;high-performance circuit designs
77;clock skew
78;timing yield estimation
79;deterministic static timing analysis
80;monte carlo simulation
81;design method
82;static timing analysis
83;design methodology
84;process variation
85;shortest path
86;registers
87;circuit design
88;circuit analysis
103;global high technology
104;daily short-distance flight
105;enormous waste
106;daily life
127;visual source material
128;minute sound
129;integrated journey temporally
130;abstract environment
131;intricate detail
132;particulated image
133;artists delve
134;visual experience
135;multi-faceted granular complexity
136;stylized natural element
151;existing platform
152;software agent
153;BDI model
154;new BDI
155;agent platform design
156;CloudNetBDI platform prototype
157;effective agent system
158;CloudNetBDI platform
159;autonomous BDI
160;agent platform
202;Particle Image Velocimetry
203;Particle Image Velocimetry Technique
204;Total Analysis System
205;Microchannel Flow
206;Velocity Profile Measurement
213;Political Economy
214;Social Choice
215;Historical Perspective
216;Welfare Economic
217;50th Anniversary
233;Internet
234;hypermedia markup languages
235;information resources
236;systems re-engineering
237;COBOL
238;PL/I
239;World Wide Web
240;XML
241;batch programs
242;data conversion
243;e-commerce
244;eXtensible Markup Language
245;enterprise application integration
246;interface reengineering
247;legacy programs
248;online programs
249;software reengineering
250;subprograms
251;systems integration
270;schools
271;medical
279;design
280;signal processing
281;miscellaneous
282;documentation
283;general
284;theory
285;author/editor
286;general literary works
292;resource allocation
293;cpu utilization
294;quality of service
310;city road
311;local bus service
312;exact bus route
313;efficient travel planner
314;bus travel
315;particular destination
316;city bus
317;bus movement
318;proposed system
319;large metropolitan city
320;current location
321;real time
322;public transport
324;Support Vector Regression
325;Load Forecast
326;Gradient Projection Method
327;Renyi Entropy
328;Stock Market Volatility
334;Fairness review
335;Curriculum
336;Test development standards
337;Fairness
338;Legal challenge
339;Classroom assessment
340;Bias
341;Educational assessment
342;Equity
347;reference
348;software management
349;algorithms
350;plaque reduction neutralisation test
351;performance analysis and design aids
352;scheduling
353;experimentation
354;reliability, testing, and fault-tolerance
355;security
356;vlsi
357;systems
358;3d/stereo scene analysis
359;database administration
360;training
361;literacy
362;software development
363;software/program verification
364;software process
