ID;title;DOI;year
1;3GIO.;;2011
4;The relationship between canopy parameters and spectrum of winter wheat under different irrigations in Hebei Province.;10.1109/IGARSS.2011.6049503;2011
23;A solution to the problem of touching and broken characters.;10.1109/ICDAR.1993.395663;1993
44;Timing yield estimation using statistical static timing analysis;10.1109/ISCAS.2005.1465124;2005
69;360°;10.1145/1665137.1665166;2009
74;300;10.1145/1281740.1281746;2007
79;34957+70764=105621;10.1111/j.1468-0394.2009.00532.x;2009
83;International Conference on Nano/Micro Engineered and Molecular Systems;10.1109/NEMS.2009.5068754;2009
90;2BTextures;10.1145/1596685.1596687;2009
94;11MonkeysII;10.1007/3-540-45324-5_74;2001
99;1may;10.1145/1186015.1186050;2004
103;1;10.1109/WAINA.2013.48;2013
108;6th;10.1007/978-3-642-00437-7_11;2009
119;458nm;10.1145/1179196.1179199;2006
123;49;10.1145/1281740.1281748;2007
126;893;10.1145/1400468.1400471;2008
130;8848;10.1145/1281740.1281749;2007
133;4IM.;;2008
135;7373170279850;10.1090/S0025-5718-99-01116-3;2000
142;Foreword;10.1016/S0002-9610(66)80001-6;1966
149;Foreword.;10.1109/CIST.2012.6388046;2012
155;Forward;10.1016/S0070-4571(08)70224-3;1980
162;Foreword.;10.1016/j.currproblcancer.2015.04.001;1962
166;Using XML to Integrate Existing Software Systems into the Web;10.1109/CMPSAC.2002.1044548;2002
190;90°;10.1145/1281740.1281750;2007
191;Foreword.;10.1159/000340024;2003
196;Foreword];10.1016/S0300-595X(86)80069-X;1957
199;Foreword;10.1023/A:1016079805767;2002
206;Research on resource allocation for multi-tier web applications in a virtualization environment;10.1007/s11704-011-0127-6;2011
229;BUSTRAP – an efficient travel planner for metropolitans;10.1007/978-3-540-30536-1_64;2004
245;Foreword.;10.1055/s-0032-1318521;2012
246;Fairness;;1986
251;FOREWORD.;10.1111/dmcn.12556;1917
255;FIRST;10.1109/NCA.2009.44;2009
260;Formatics.;;2012
264;Fault;10.1109/ARTCom.2009.127;2009
272;Flexonics.;;2002
278;Frontmatter;10.1140/epjad/i2005-06-215-9;2004
284;FACETS;10.1109/PDP.2010.83;2010
307;Fisherfaces;10.4249/scholarpedia.4282;2011
311;Fluctuations;10.4249/scholarpedia.5893;2008
314;FCLOS;10.1016/j.datak.2008.09.003;2009
368;Flußanalyse;;1983
372;Foreword.;10.1097/GRF.0000000000000321;2017
377;Foreword;10.1109/ICSM.2011.6080763;2011
381;Foreword.;10.1016/j.chc.2009.01.002;2009
383;Farewell.;;2013
387;Fernsehen;10.1026/1617-6383.18.3.135;2006
391;Fractalmania;10.1002/cplx.20035;2004
395;Flocoder;10.1093/comjnl/14.3.221;1971
401;Feldbustechnik;10.1524/itit.2000.42.4.5;2000
405;Forum98;;2000
409;FairCite.;;2013
414;Fuzzing;10.1007/s11623-006-0243-x;2006
418;Fachkunde;10.1007/s11623-007-0137-6;2007
421;Föderation;;2003
424;Familie.;;2014
427;Flickwerk;10.1007/s11623-006-0153-y;2006
430;FABEL;;1996
439;Futurology;;2003
443;9IM.;;2008
444;Fairness;;1988
448;Futurescapes;10.1016/j.compenvurbsys.2004.05.001;2005
452;Fratricide;10.1109/MSP.2010.97;2010
457;Futures.;;2011
461;Foreword.;10.5702/massspectrometry.K0005;2013
465;FORGE.;;2011
468;Forwarding.;;2011
469;FFTW.;;2011
471;Format.;;2008
472;Filtering.;;2008
473;FGDC.;;2008
474;Flocking.;;2008
475;Fovea.;;2009
477;Foreword.;10.1590/0074-0276130585;2013
483;FOL.;;2009
484;FD.;;2009
485;Foreword.;10.5702/massspectrometry.K0007;2014
490;FCP.;;2009
491;Field.;;2011
495;Firewalls.;;2011
497;Formatives;10.1305/ndjfl/1093635155;1989
501;FLAVERS;10.1145/340855.341098;2000
507;FEAL.;;2011
509;Foreword.;10.1016/S0074-7696(08)62596-6;1961
512;Fantasy3;10.1145/259081.259191;1997
517;F8;10.1145/259081.259364;1997
520;Faces;10.1145/259081.259367;1997
523;Flipbook;10.1145/259081.259370;1997
526;Flux;10.1145/259081.259371;1997
528;Flubber;10.1145/281388.281867;1998
532;Frankenmouse;10.1145/280953.289322;1998
536;Freedom;10.1145/312379.312943;1999
541;Forum.;10.1126/science.103.2686.724;1946
546;Feedback;10.1109/MCS.2003.1200258;2003
551;Flatlined;10.1145/508448.508463;2002
555;Foreword.;10.1016/S0039-9140(03)00063-8;2003
559;Forward;10.1109/FGR.2006.53;2006
570;Foreword.;10.1016/j.iac.2007.01.001;2007
573;Focus;10.1007/3-540-58867-1_55;1995
578;Familyware;;2000
584;Factoring;10.1126/science.223.4631.8;1984
588;Forum;10.1145/777313.777325;2003
592;Forum;10.1145/1039539.1039552;2005
595;Forum;10.1145/1183236.1183246;2006
598;Forum;10.1145/1053291.1053303;2005
601;Forum;10.1145/1188913.1188928;2007
604;Forum;10.1145/295685.295691;1999
607;Fortran;10.1145/366274.366294;1963
610;Forum;10.1145/317665.317668;1999
612;Forum;10.1145/1314215.1314217;2008
615;Forum;10.1145/383694.383697;2001
618;Forum;10.1145/1290958.1290977;2007
620;Fingerprinting;;1983
624;Foreword.;10.1016/j.scico.2004.01.009;1979
630;FaceCerts;;2003
635;Fairytales;10.1145/1045276.1045277;1976
640;Foreword.;10.1016/S0074-7750(06)33014-5;2004
644;Foreword.;10.1007/BF00807934;1996
647;Fake!;10.1057/palgrave.ejis.3000581;1982
652;Folding;10.1016/j.jctb.2006.02.002;2006
659;Frank;10.1145/1186015.1186031;2004
662;Foreword;10.1109/ICDEW.2011.5767623;2016
667;Fetch;10.1145/1281740.1281790;2007
670;Fountaineers;10.1145/1282040.1282070;2007
676;friends?;10.1145/1596685.1596734;2009
679;Foreword;10.1016/j.comcom.2010.07.018;2010
685;Flip;10.1145/1665208.1665224;2009
690;Flyman;10.1145/1665208.1665245;2009
693;Fanboy;10.1145/1400468.1400499;2008
