ID;title;DOI;year
11205;intelligence;10.1109/5254.820321;2001
11210;Introduction.;10.1111/epi.12415;2013
11214;Internet;;2000
11219;Introduction.;10.1145/962081.962101;1989
11225;Introduction;10.1109/CYCON.2014.6916390;2014
11233;Interview;10.1109/MAHC.1998.667314;1998
11236;Infoscopes;;1995
11239;Intelligencer;10.1109/5254.796079;1999
11241;Interlinguae;;1993
11246;Infoglut;10.1145/1139922.1139936;2006
11247;Introduction;10.1007/11595014_58;2005
11253;INTRODUCTION.;10.1023/A:1013888522793;1964
11255;IOSONO;10.1145/1027154.1027162;2004
11259;INTERLISP;10.1145/1056786.1056787;1973
11263;Infrastructure;10.1145/1185657.1185700;2006
11265;ineffable;10.1145/1185884.1185912;2004
11268;Informatie2005.;;2005
11271;Ireva;10.1145/1280120.1280123;2007
11273;Intertainment;10.1145/1291233.1291348;2007
11278;Introduction;10.1109/TC.1980.1675508;1980
11282;Introduction;10.1145/1457769.1457776;1958
11287;Imposition;10.1145/1459359.1459595;2008
11291;Inescapable;10.1145/1640233.1640347;2009
11295;INsideOUT;10.1145/1665137.1665168;2009
11297;ImageSense;10.1145/1459359.1459563;2008
11300;Interfaces;10.1126/science.194.4260.55;1976
11303;Intrium;;2005
11311;Introduction.;10.1016/j.amjcard.2007.08.015;2007
11315;INTRODUCTION.;10.1086/314076;1964
11317;Introduction;10.1016/S0082-0784(69)80460-1;1969
11319;INTRODUCTION.;10.1023/B:PRES.0000017215.53519.bf;1963
11324;Introspection.;10.1016/S1470-2045(07)70408-4;2008
11328;Impostor.;;2009
11329;ILM.;;2009
11330;IDF.;;2009
11331;Instant.;;2009
11332;IDEA.;;2011
11334;IPES.;;2011
11335;IBE.;;2011
11336;Issuer.;;2011
11337;Introduction.;10.1016/j.compmedimag.2015.02.003;1996
11344;Iris2pi.;;2009
11345;Insomnia.;10.1016/S0140-6736(08)60642-X;2008
11348;Introduction.;10.3109/ejc.6.s1.9.9;1995
11354;iTREM.;;2011
11360;IP=PSPACE;;1990
11363;Informationslogistikmanagement;;2003
11369;Imprinting;10.1126/science.133.3456.923;1961
11372;Intentionality;10.4249/scholarpedia.1337;2007
11374;Isochron;10.4249/scholarpedia.1361;2006
11378;Interneurons;10.4249/scholarpedia.4720;2008
11381;INDSCAL;10.1016/j.csda.2004.08.005;2006
11386;Informationsextraktion.;10.1007/s00287-014-0776-6;2014
11390;Informatics.;10.1007/s00287-008-0238-0;1995
11394;Inbox;10.1145/1961678.1961694;2011
11396;Inbox;10.1145/2748135;2015
11399;Inbox;10.1145/1764848.1764850;2010
11400;Inbox;10.1145/1836543.1836545;2010
11402;Investigations;10.1002/cplx.1047;2001
11405;Inhibitionsfelder;10.1007/BF00288689;1972
11409;Interrupts;10.1002/spe.4380100704;1980
11412;Informationssystem;10.1007/978-3-8274-2653-6_9;1972
11415;INSOMNIA: ;10.1097/00127893-200006050-00007;2000
11418;Interface;10.1145/253607.253611;1996
11422;Introduction;10.1007/BF00567408;1955
11425;Identity.;10.1305/ndjfl/1093891902;1975
11428;Identität;10.1007/s11623-006-0147-9;2006
11430;Introduction.;10.1006/siic.2000.0120;2001
11436;Informationen;10.1007/s004810050046;1999
11439;Informationen;10.1007/s00337-003-0204-9;2003
11442;Introduction.;10.1215/ed-25-introduction;1954
11446;Introduction.;10.1080/J003v21n01_24;1996
