ID;title;DOI;year
22037;Gentzen Games;10.1002/malq.19850312506;1985
22040;Genetic Threading;10.1023/A:1011489723652;2001
22046;Green technology;10.1145/1961678.1961691;2011
22048;Gradual typestate;;2011
22055;Growth: Tendril;10.1145/2407603.2407654;2012
22058;Grid Technologies;;2009
22061;Gauge theories;10.4249/scholarpedia.7443;2008
22063;Generic Trees;;1995
22066;Grammatical Tagging.;;2017
22067;: GRM Tools;10.1162/comj.2003.27.4.103;2003
22070;Golden shoes;10.1145/253607.253994;1996
22072;Generalized Superposition;10.1016/S0019-9958(67)90739-5;1967
22075;Graphics standardization;10.1145/800064.801259;1982
22079;Get smart;doi:10.1038/scientificamericanmind0512-14c;2012
22083;Geographic Visualization;10.1007/978-3-540-71949-6_6;2006
22088;Global Swarming;10.1109/ISDA.2006.253785;2006
22092;Geometry synthesis;10.1145/1186223.1186270;2004
22098;GHOST(s);10.1145/1291233.1291320;2007
22102;Guessing secrecy;10.1007/978-3-642-32284-6_1;2012
22107;Generating subfields;10.1016/j.jsc.2012.05.010;2013
22115;Graphics Systems;10.1111/j.1467-8659.1982.tb00008.x;1982
22118;Giga Security;10.1016/S0167-4048(02)00805-2;2002
22120;Got Spam?;10.1201/1086.1065898X/45390.14.3.20050701/89144.1;2005
22123;Grid spanners;10.1002/net.3230230206;1993
22127;Genuine sets;10.1016/S0165-0114(97)00235-2;1999
22130;GI-Veranstaltungskalender;10.1007/s00287-004-0460-3;2003
22133;GI-Veranstaltungskalender;10.1007/s007670200009;2002
22134;GI-Veranstaltungskalender;10.1007/s00287-008-0297-2;2008
22137;GI-Veranstaltungskalender;10.1007/s00287-003-0370-9;2004
22138;GI-Veranstaltungskalender;10.1007/s00287-007-0168-2;2007
22139;GI-Veranstaltungskalender;10.1007/s00287-005-0054-8;2006
22140;Graduated substrata;10.1016/0306-4573(88)90006-4;1988
22143;G-splines;10.1016/0167-8396(90)90031-L;1990
22147;Group spontaneity;10.1145/144001.144081;1992
22151;Generable Sets;10.1016/S0019-9958(70)90452-3;1970
22154;Generic separations;10.1006/jcss.1996.0015;1996
22158;Graph spectra;10.1016/0012-365X(95)00179-Z;1996
22165;Graph Structures;10.1145/321707.321711;1972
22169;Grammar Schemata;10.1145/321812.321817;1974
22174;Genetic Stigmergy.;;2011
22179;Group-Solvability;10.1007/978-3-540-30186-8_3;2004
22184;Gamifying Support.;;2013
22187;Grammatical Swarm;10.1007/978-3-540-24854-5_15;2004
22194;Generic Separations;;1994
22197;Gowdy Spacetimes.;;2014
22199;Große Softwareprojekte;10.1007/s00287-008-0288-3;2008
22202;GMW sequences;;1984
22206;Generic Saturation;;1998
22208;Generic substitutions;10.2178/jsl/1107298510;2005
22211;Geological storytelling.;;2013
