ID;title;DOI;year
31145;BOOK NOTICES: ;10.1097/00005792-196308000-00006;1963
31147;BOOK NOTICES;10.1093/jhmas/XX.3.304-c;1965
31150;Broadcast Trigger.;;2002
31152;BCM theory;10.4249/scholarpedia.1570;2008
31155;Bubbling transition;10.4249/scholarpedia.1725;2006
31157;BICMOS technologies;10.1002/ett.4460010309;1990
31160;Búsqueda Tabú;;2003
31164;Bx-Tree.;;2017
31165;Blinding Techniques.;;2011
31166;Biometric Testing.;;2011
31167;Book Notice;10.1017/S1040820700000524;1990
31171;Book notice;10.1080/10236247709386964;1977
31174;BOOK NOTICES;10.1093/jaarel/VII.III.147-b;1939
31177;Book Reviews: ;10.1097/00005053-191912000-00078;1919
31182;Book Reviews: ;10.1097/00005053-191912000-00084;1919
31186;Bibliometrische Netzwerke;10.1007/978-3-531-92575-2_70;2010
31188;Bimodale Netzwerke;10.1007/978-3-531-92575-2_37;2010
31190;Boolean operations;;1992
31191;Building OpenWorlds;10.1145/271897.274368;1998
31197;Breaking objects;10.1145/312379.312866;1999
31199;Backtrackable Updates;;1994
31203;Bitwise operations;10.1145/366199.366254;1961
31205;Beyond Objects;10.1007/BFb0052173;1994
31208;Broadway one;10.1145/1185884.1185908;2004
31212;Bidirektionale Optimalitätstheorie;10.1007/BF03354949;2002
31217;Bibliographic Ontology;10.1007/978-3-540-85434-0_8;2009
31221;Binary translation;10.1145/151220.151227;1993
31228;Bioinformatics track;10.1145/508791.508821;2002
31233;B-Tool;10.1007/3-540-54834-3_53;1991
31238;Behavioural therapies.;;1994
31243;BioMorphic typography;10.1145/1242073.1242164;2002
31245;Berge trigraphs;10.1002/jgt.v53:1;2006
31248;Backdoor Trees;;2008
31251;Business telecommunications;10.1016/0140-3664(78)90003-8;1978
31255;Blame trees;10.1007/978-3-642-40104-6_25;2013
31261;Book Shelf;10.1109/MS.2007.36;2007
31268;Book reviews.;10.1046/j.1467-2494.2000.00041.x;2000
31281;Board Testing;;1982
31284;Bayesian Transduction;;1999
31288;Banquet Talk;10.1109/ACPR.2013.198;2013
31291;Book reviews;10.1109/MCAS.1979.6323559;1979
31295;Book reviews;10.1145/322880.322886;1999
31305;Bugtrackers triplification.;;2009
31311;Bibliometrics toolbox;"10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J";1990
31314;Balanced triangulations.;10.1016/j.disc.2013.05.017;2013
31320;Book reviews;10.1145/333175.333182;2000
31322;Bounded reductions;;1993
31328;Book review.;10.1046/j.1467-2494.1998.181690.x;1998
31332;Book reviews;10.1145/376451.376468;2001
31334;Book review.;10.1080/03079459708419244;1997
31349;Book review.;10.1155/S1463924682000121;1982
31354;Book reviews.;10.1080/00324728.1977.10412772;1977
31364;Book Reviews;10.1162/artl.1995.2.261;1994
31366;Boolean Routing;10.1007/3-540-57271-6_38;1993
31370;Bidirectional Radiosity;;1997
31374;Book review;10.1016/j.ipm.2005.08.002;2006
31378;Beyond RUP;10.1109/TOOLS.2000.10022;2000
31381;Balanced Routing;10.1109/ICNP.1997.643730;1997
31385;Book Review;10.1023/B:EAIT.0000024309.45940.40;2004
31387;Board reconstruction;10.1145/960492.960516;2003
31390;Blaster Revisited;10.1145/1016978.1016980;2004
31393;Biomimetic Robots;10.1109/MC.2004.121;2004
31395;BOOK REVIEWS.;10.1080/J003v17n02_08;2001
31401;Book review;10.1016/j.ipm.2006.09.014;2007
31407;Book review;10.1287/inte.1060.0233;2006
31413;Book review:;10.1162/coli.2007.33.1.141;2007
