ID;pubYear;pubNumber;ISBN
3;2011;;
11;2011;null;
27;1993;;
49;2005;;0-7803-8834-8
73;2009;;
82;2009;26;
89;2009;;
98;2001;;3-540-42185-8
107;2013;;
118;2009;;
134;2008;;
141;2000;69;
148;1966;111;0-7803-8633-7
154;2012;1;978-1-4673-2724-4
165;1962;39;
169;2002;;0-7695-1727-7
198;1957;13;
210;2011;5;
235;2004;;3-540-24076-4
250;1986;;0-387-96235-2
254;1917;1;0-7695-3080-X
259;2009;;
263;2012;;
271;2009;;
277;2002;;
283;2004;25;
306;2010;;
310;2011;6;
313;2008;3;
321;2009;68;
371;1983;6;
376;2017;60;
380;2011;23;
382;2009;18;
386;2013;43;
390;2006;18;
394;2004;9;
400;1971;14;
404;2000;42;
408;2000;3;
413;2013;7;
417;2006;30;
420;2007;31;
423;2003;7;
426;2014;38;
438;1996;10;
442;2003;3;
447;1988;35;
451;2005;29;
456;2010;8;
460;2011;;
464;2013;2;1-59140-106-2
476;2009;;
482;2013;108 Suppl 1;0-262-52261-6
489;2014;3;0-7695-2566-0
494;2011;;
500;1989;30;
506;2000;25;
511;1961;34;0-7484-0127-X
545;1946;103;
550;2003;23;
554;2002;45;
558;2003;60;
572;2007;27;
577;1995;21;3-540-58867-1
583;2000;;0-7923-7867-9
587;1984;223;3-540-58449-8
591;2003;46;1-58113-525-4
594;2005;47;
597;2006;49;
600;2005;48;
603;2007;50;
606;1999;43;
609;1963;6;
614;2008;50;
617;2001;45;
623;1983;;0-8186-0467-0
629;1979;26;0-7695-2366-8
634;2003;;0-7695-1896-6
639;1976;60;
643;2004;19;
646;1996;11;
651;1982;284;
658;2006;96;
666;2016;7;
684;2010;33,;
689;2009;;
700;2010;18;
711;2010;;
719;1948;38;978-1-4577-0662-2
727;2012;47;
744;2012;;
753;1992;257;
760;2015;182;
767;1988;1;
771;1996;16;
774;2014;121 Suppl 4;
780;2012;22;978-1-4673-0845-8
784;1986;29;
787;1985;35;
789;1986;4;
797;2015;84;
803;2003;21;978-1-4673-0701-7
807;1992;13;
811;2012;62;
823;2012;abs/1211.2313;
830;2011;;
837;2015;137 Suppl 1;978-1-4673-1569-2
840;2009;37;
844;1997;20;
852;1977;14;
859;1990;13;
863;1996;15;
866;2010;30;
870;2015;35;
882;2015;30;978-1-4673-1754-2
886;1992;68;978-1-4244-8628-1
894;1977;70;
899;1975;18;
904;1994;1;
908;1992;137;
910;2010;31;3-540-60159-7
914;2011;;
921;2013;;
925;2004;;
928;1990;;isbn
944;1996;59;
952;1988;8;
955;1994;21;
961;1990;9;
965;2004;19;
968;2015;58;
974;2003;61;
978;2009;47;
983;2010;1216;978-1-4244-8521-5
987;2001;;
991;1995;;
994;1982;1;
999;2012;58;
1005;2005;30;
1008;2006;31;
1012;2014;424;
1016;2005;241;
1019;2010;80;
1024;1982;19;
1032;2003;33;
1034;2013;;
1038;1998;;
1041;1942;18;
1047;2007;53;
1051;2009;2;
1055;1997;4;
1060;2008;51;
1068;2001;892;
1072;1982;44;
1079;2000;48;
1082;2006;19;
1097;2004;19;978-1-4673-5557-5
1101;2015;;
1119;2008;;
1129;1999;27;
1132;2006;34;
1136;2014;42;
1138;2007;35;
1141;1986;9;
1148;2011;8;
1150;2006;18;
1154;2014;31;
1158;2013;37;
1163;2009;23;
1167;2004;18;
1170;2011;25;
1177;1989;4;
1181;2011;40;
1194;2017;;
1202;2008;42;
1227;1987;10;0-89006-253-6
1231;1966;153;
1235;1995;2;
1262;1997;18;
1266;1989;11;
1270;2002;;0-262-04204-5
1274;2003;37;
1296;2008;24;
1302;2008;;
1308;2009;;
1315;2009;15;
1319;1985;;0-934613-02-8
1322;2014;31;
1331;2010;27;
1339;2012;29;
1351;2004;15;
1362;2013;32;
1365;2007;27;
1373;2004;24;
1377;2011;5;
1382;2008;127;
1386;1962;6;
1390;2012;92;
1395;2003;22;
1398;2012;35;
1401;2006;29;
1404;2007;30;
1406;2008;31;
1413;2003;22;
1417;1993;35;
1423;2010;52;
1426;2003;31;
1428;1997;25;
1430;1993;21;
1432;2008;36;
1434;1996;24;
1436;2010;38;
1441;2002;;
1447;1988;23;
1452;2002;;1-4020-7008-X
1468;2004;20;
1473;2004;140;
1479;2008;;
1486;2009;;
1490;2001;;
1495;2000;;
1499;2002;44;
1503;2008;;
1508;2007;17;0471887374
1513;1988;329;0-12-544962-3
1531;2007;;
1553;1998;27;0-89791-995-5
1567;1977;14;
1572;1975;12;
1581;1982;1;1-58603-687-4
1585;2000;58;
1588;2001;59;
1592;1994;52;
1596;1990;48;
1599;2014;60;
1602;2002;9;
1606;2002;22;
1609;1990;5;
1619;1998;;3-540-64201-3
1625;1994;;3-540-59071-4
1629;1989;;3-540-51662-X
1633;1982;;3-540-11974-4
1639;1957;50;0-7695-2882-1
1642;2003;23;
1654;2004;;1-58113-859-8
1666;2005;34;
1669;1961;133;
1686;2005;25;
1697;2008;;
1702;2009;25;
1710;2009;;
1714;2009;5;
1724;2005;7;
1729;2010;;
1733;2004;;
1737;2013;;
1746;2010;;
1756;2009;;
1761;2006;;
1765;2012;286,;
1769;2007;30;
1781;2004;27;
1787;2007;49;
1792;2010;12;
1798;2014;14;
1803;2005;20;
1805;2006;21;
1811;2001;16;
1814;2002;17;
1818;2012;54;
1822;1993;33;
