ID;Name
653;Univ British Columbia
813;University of Massachusetts at Amherst
829;University of Central Florida
1032;University of Kent
1034;University of Augsburg
1388;University of Verona
1503;Università di Padova
1587;University of Maine
1843;University of Wisconsin - Madison
1913;Univ Ulm
2075;University of Konstanz
2077;University of Konstazn
2256;Univ. of Antwerp VIA
2297;Universite de Provence
2329;University of Saskatchewan Dept. of Geological Sciences Saskatoon Canada S7N OWO
2449;University of Illinois at Urbana-Champaign
2502;University of Colorado Denver
2690;University of Basel Database and Information Systems Group Basel Switzerland
2727;University of California
2822;Universität Mainz
2963;University of Melbourne Australia
3017;Université Paris 7
3049;University of Karlsruhe
3239;University of Maryland
3264;University of Washington
3266;University of Washington and Microsoft Corporation
3323;University of Copenhagen.
3433;University of Southern California
3832;University of Sydney
4030;University of Auckland
4034;University of Limoges
4189;University of Texas Medical Branch Galveston
4538;University of Virginia
4551;Universität Kassel
4777;Univ. of Washington
5046;University of Southern DenmarkSanta Fe Institute.
5356;University of Manchester
5449;Univ. of Pennsylvania
5453;Univ. of Edinburgh
5644;University of Wisconsin
6119;Universität Erlangen-Nürnberg Lehrstuhl für Betriebswirtschaftslehre insb. Wirtschaftsinformatik I Lange Gasse 20 90403 Nürnberg Germany
6177;University of Aalska Fair-banks
6329;Universität Hamburg
6412;University College
6414;University of Leicester
6416;University of Bath
6540;University of Pennsylvania
6547;Universitat Passau
6549;Universität Passau Innstra\e 33 94032 Passau
6962;United Kingdom
7217;University of Michigan
7380;University of Iowa
7690;University of Cambridge
7696;University College Cork
7699;University of Leiden
7813;University of Alabama
7819;University of Tsukuba
7839;University of Tübingen
8114;University of Oldenburg
8116;University of Nevada
9040;University Department of Colon and Rectal Surgery
9216;Univ. of Quebec at Montreal
9432;University of New Mexico
9670;University of Illinois
9747;University of North Carolina at Charlotte
10191;University of Florida
10505;Univ. of California
10509;Univ. of Michigan
10511;Univ. of Texas
11496;Universite Claude Bernard Lyon
11509;University of Gdansk
11725;University of Maryland Baltimore County
11828;University of Ulster
11962;Univ. of Wisconsin-Milwaukee
11978;University of Mississippi
12344;Univ Ljubljana
12432;Universität der Bundeswehr München Institut für Softwaretechnologie
12644;University of Kansas
12727;Univ. of Virginia
12736;University of Tokyo
12739;University of Electro-Communications
12777;University of Wales
13264;University of North Carolina Greensboro
13386;University of Mannheim
13653;University of Wyoming Department of Electrical and Computer Engineering College of Engineering Department 3295
13655;United States Air Force Academy Department of Electrical Engineering 6236 Fairchild Drive
13817;Universität Würzburg Institut für Informatik Am Hubland 97074 Würzburg Deutschland Am Hubland 97074 Würzburg Deutschland
13852;University of Stuttgart
14772;University of Alberta
15220;University of Liverpool
15222;University of Toronto
15224;University of Melbourne
15399;University of Quebec in Montreal (UQAM)
15401;University of Glasgow
15403;University of Kassel
15571;Universität Passau Lehrstuhl für Betriebswirtschaftslehre mit Schwerpunkt Marketing und Innovation Innstraße 27 94032 Passau Germany
15603;Universität Karlsruhe (TH) Lehrstuhl für Informationsbetriebswirtschaftslehre Englerstraße 14 76131 Karlsruhe Germany
16291;Université de Provence
16293;Università Federico II
16389;University of Arkansas
