ID;Name
12;Agronomy
13;Moisture
14;Hydrology
15;Environmental science
16;Dry weight
17;Water content
18;Stomatal conductance
19;Transpiration
20;Irrigation
21;Soil water
22;Canopy
28;Intelligent character recognition
29;Pattern recognition
30;Computer science
31;Feature (computer vision)
32;Document processing
33;Handwriting recognition
34;Optical character recognition
35;Feature extraction
36;Feature (machine learning)
37;Artificial intelligence
38;Intelligent word recognition
50;Delay calculation
51;Timing failure
52;Monte Carlo method
53;Sequential logic
54;Statistical static timing analysis
55;Shortest path problem
56;Algorithm
57;Clock skew
58;Static timing analysis
59;Statistics
170;XML Base
171;World Wide Web
172;XML framework
173;XML Encryption
174;Efficient XML Interchange
175;SGML
176;Programming language
177;Software engineering
178;XML
179;XML validation
180;cXML
211;Virtualization
212;Service level objective
213;Virtual machine
214;Testbed
215;Quality of service
216;Provisioning
217;Resource allocation
218;Web application
219;Operating system
220;Distributed computing
236;Changeover
237;Transport engineering
238;Planner
239;New delhi
240;Public transport
241;Schedule
242;Local bus
243;Engineering
244;Metropolitan area
322;Information system
323;Mobile device
324;MOLAP
325;Online analytical processing
326;Data access
327;Data cube
328;Scalability
329;Client–server model
1453;Group communication protocol
1454;The Internet
2985;Intelligent decision
2986;Multiple criteria
2987;Intelligent decision support system
2988;Support system
2989;Decision support system
2990;R-CAST
2991;Process management
4400;Revenue
4401;Transparency (graphic)
4402;Civil society
4403;Corporate governance
4404;Economic growth
4405;Information revolution
4406;Call centre
4407;Interactive kiosk
4408;Business
4409;E-governance
5643;Business model
5644;Information infrastructure
6472;Mobile computing
6473;Mobile IP
6474;Soft handover
6475;Packet loss rate
6476;Computer network
6477;Real-time computing
6478;Router
6479;Latency (engineering)
6480;Mobile telephony
6481;Handover
6642;Interleaved memory
6643;Computer architecture
6644;Uniform memory access
6645;Physical address
6646;Cache-only memory architecture
6647;Memory management
6648;Non-uniform memory access
6649;Memory map
6650;Memory architecture
6651;Embedded system
7415;Heuristic
7416;Microeconomics
7417;Purchasing
7418;restrict
7419;Profit (economics)
7983;Emergency procedure
7984;Concurrency
7985;Pure mathematics
7986;Real systems
7987;Mathematics
7988;Morphism
8218;Formal language
8225;Fifth-generation programming language
8226;Second-generation programming language
8227;Comparison of multi-paradigm programming languages
8228;Component-based software engineering
8229;Software construction
8230;Programming language theory
8231;Computer programming
8232;Software development
8429;Health care
8430;Population
8431;Age distribution
8432;Elderly people
8433;Operational system
8434;Staff management
8435;Heuristics
8436;Operations management
8473;Combinatorial method
8474;Rectangle
8475;Yen's algorithm
8476;Suurballe's algorithm
8477;Shortest Path Faster Algorithm
8478;Dijkstra's algorithm
8479;K shortest path routing
8665;Distributive property
8666;Information processing
8667;Algebra
8668;Lattice (order)
8669;Closure operator
8670;Cardinality
8671;Order structure
8672;Fuzzy set
8673;Fuzzy control system
9348;Data science
9349;Robot learning
